id,patient_id,hospital_id,name,dob,mobile,gender,abha_number,address,state
33,HB013,hospital_b,Sumit Malhotra,1988-01-04,8974669614,M,23985447800745,"House No 61, Street 3",Bihar
34,HB014,hospital_b,Amit Verma,2015-02-18,8430287409,M,221634,"House No 865, Street 16",Uttar Pradesh
35,HB015,hospital_b,Riya Patel,2017-05-30,98765ABCDE,F,49225759338636,"House No 42, Street 8",Uttar Pradesh
36,HB016,hospital_b,Mohit Patel,1989-03-20,6484516085,F,62268368375205,"House No 727, Street 6",Bihar
37,HB017,hospital_b,Sumit Sharma,1974-11-02,673694419,F,49885226657471,"House No 863, Street 6",Uttar Pradesh
38,HB018,hospital_b,Amit Kumar,2020-03-13,9670872319,F,895903,"House No 549, Street 14",Delhi
39,HB019,hospital_b,iSta Singh,1976-07-23,7522643726,M,63898570397325,"House No 680, Street 16",Delhi
40,HB020,hospital_b,Diya Singh,2019-01-17,8489920913,M,32862372170167,"House No 712, Street 20",Karnataka
41,HC001,hospital_c,Siya Malhotra,1986-06-25,7924927005,M,558488,"House No 481, Street 4",Karnataka
42,HC002,hospital_c,Amit Banerjee,1988-04-02,665949996,F,81353492141342,"House No 590, Street 8",Bihar
43,HC003,hospital_c,Rohit Singh,2004-06-06,9012731463,M,253003,"House No 493, Street 12",West Bengal
44,HC004,hospital_c,Diya Singh,2020-10-27,8627983687,M,111343,"House No 918, Street 16",Bihar
45,HC005,hospital_c,Rajesh Verma,2013-02-21,98765ABCDE,M,686199,"House No 641, Street 15",Maharashtra
46,HC006,hospital_c,Dinesh Yadav,1968-12-31,7801883632,M,84466083462729,"House No 714, Street 3",Tamil Nadu
47,HC007,hospital_c,Diya Yadav,1936-05-18,9572511170,F,81758930727446,"House No 670, Street 7",Karnataka
48,HC008,hospital_c,Gita Gupta,1959-10-18,6109757279,F,82830827301166,"House No 711, Street 3",Tamil Nadu
49,HC009,hospital_c,Gita Verma,2020-08-15,6826965868,M,672197,"House No 768, Street 15",Uttar Pradesh
50,HC010,hospital_c,Rajesh Singh,2000-02-11,6886422421,M,814796,"House No 128, Street 4",Karnataka
51,HC011,hospital_c,Jyia Verma,2002-11-21,7817467002,F,800706,"House No 611, Street 18",West Bengal
52,HC012,hospital_c,Rita Banerjee,1970-06-28,616501303,M,30819058873868,"House No 188, Street 3",West Bengal
53,HC013,hospital_c,Rajesh Verma,1946-05-21,98765ABCDE,F,23687891476516,"House No 788, Street 18",Maharashtra
54,HC014,hospital_c,Anita Patel,1947-10-03,98765ABCDE,F,955891,"House No 573, Street 15",Delhi
55,HC015,hospital_c,Rajesh Malhotra,1980-01-29,0806310357,M,29500522961085,"House No 728, Street 20",Delhi
56,HC016,hospital_c,Sobhit Shah,1987-03-22,7993861069,F,31489495406624,"House No 653, Street 15",Bihar
57,HC017,hospital_c,Jiya Shah,1904-09-29,7761975681,M,41148387322594,"House No 506, Street 3",Maharashtra
58,HC018,hospital_c,Gita Gupta,2005-12-17,8619936826,M,38226033589839,"House No 867, Street 3",Maharashtra
59,HC019,hospital_c,Siya Verma,1991-04-04,7845755982,M,43653599503383,"House No 856, Street 11",Bihar
60,HC020,hospital_c,oSbhit Gupta,1989-10-24,7814571794,F,98471209522587,"House No 659, Street 6",Karnataka
61,HD001,hospital_d,Nita Verma,2009-03-24,6679253946,M,763895,"House No 94, Street 14",Maharashtra
62,HD002,hospital_d,Ramesh Gupta,1967-11-02,8731904476,F,27309645144263,"House No 33, Street 5",Bihar
63,HD003,hospital_d,Ramesh Shah,2013-12-20,7954367069,M,25648549338275,"House No 782, Street 14",Karnataka
64,HD004,hospital_d,Anita Malhotra,1963-03-31,8952814504,M,56067101754293,"House No 997, Street 8",West Bengal
65,HD005,hospital_d,Rajesh Gupta,1947-07-20,6821388919,M,994421,"House No 813, Street 14",Bihar
66,HD006,hospital_d,Mahesh Gupta,1976-10-04,8230142093,F,56899624063180,"House No 415, Street 20",Bihar
67,HD007,hospital_d,Priya Kumar,1986-12-01,0647285389,F,817542,"House No 178, Street 5",Karnataka
68,HD008,hospital_d,Diya Malhotra,2001-09-22,8469226627,F,36212421231369,"House No 947, Street 7",Uttar Pradesh
69,HD009,hospital_d,Rohit Malhotra,1990-08-28,6797723352,F,554919,"House No 545, Street 15",Bihar
70,HD010,hospital_d,Mahesh Patel,2015-10-13,7424487820,M,19920378638413,"House No 971, Street 17",Delhi
71,HD011,hospital_d,Sobhit Shah,2005-08-04,9069502930,M,61671250983079,"House No 627, Street 15",Delhi
72,HD012,hospital_d,Amit Yadav,1968-03-14,0981377204,M,337855,"House No 230, Street 17",Delhi
73,HD013,hospital_d,Anita Verma,1975-08-21,6655274606,M,63754344673669,"House No 79, Street 11",Delhi
74,HD014,hospital_d,Sohbit Gupta,1986-05-29,8260781649,F,65124351295666,"House No 207, Street 13",Maharashtra
75,HD015,hospital_d,Sobhit Shah,1976-07-04,8300090519,M,74614669931141,"House No 891, Street 5",Maharashtra
76,HD016,hospital_d,Siya Kumar,2003-03-28,98765ABCDE,M,545795,"House No 893, Street 10",Bihar
77,HD017,hospital_d,Rohit Sharma,1905-06-03,6284015986,M,39691201332779,"House No 241, Street 17",Uttar Pradesh
78,HD018,hospital_d,Rita Patel,2010-08-17,7552968304,F,98659647026015,"House No 807, Street 1",Maharashtra
79,HD019,hospital_d,Ramesh Sharma,1948-04-04,98765ABCDE,F,86787157376212,"House No 962, Street 4",Maharashtra
80,HD020,hospital_d,Siya Malhotra,1968-02-21,98765ABCDE,F,73486841652042,"House No 254, Street 15",Bihar
81,HE001,hospital_e,Riya Banerjee,1962-06-20,9903934958,F,783160,"House No 999, Street 13",West Bengal
82,HE002,hospital_e,Amit Sharma,1984-02-23,9742590808,M,19709138421436,"House No 966, Street 9",Karnataka
83,HE003,hospital_e,Sobhit Patel,2016-04-29,0768431922,M,14909028366806,"House No 501, Street 17",Delhi
84,HE004,hospital_e,Diya Singh,1996-06-20,98765ABCDE,F,89675174048996,"House No 944, Street 13",Uttar Pradesh
85,HE005,hospital_e,Suresh Yadav,1880-01-30,98765ABCDE,M,66895979444664,"House No 200, Street 9",Tamil Nadu
86,HE006,hospital_e,Rajesh Verma,1979-04-14,6847203384,F,13140924566111,"House No 870, Street 19",Karnataka
87,HE007,hospital_e,Gita Gupta,1951-01-25,8161897572,M,20404845227850,"House No 401, Street 4",Karnataka
88,HE008,hospital_e,Dinesh Singh,1999-02-28,6637362562,M,66409283015346,"House No 295, Street 8",Tamil Nadu
89,HE009,hospital_e,Nita Singh,1891-07-07,98765ABCDE,F,673985,"House No 278, Street 3",West Bengal
90,HE010,hospital_e,Priya Patel,2012-01-08,8592110961,M,72405676041647,"House No 889, Street 13",Karnataka
91,HE011,hospital_e,Riya Kumar,1972-03-23,7777276133,F,54229619003321,"House No 613, Street 1",Tamil Nadu
92,HE012,hospital_e,Sita Kumar,1984-05-07,8868657382,F,880449,"House No 215, Street 11",West Bengal
93,HE013,hospital_e,Sobhit Shah,1979-02-05,8813831959,F,48023702909513,"House No 500, Street 18",Bihar
94,HE014,hospital_e,Ramesh Gupta,2014-10-06,873756626,F,51108545247046,"House No 791, Street 5",Uttar Pradesh
95,HE015,hospital_e,Gita Verma,1945-12-07,8806647236,M,887489,"House No 674, Street 9",Maharashtra
96,HE016,hospital_e,Rohit Yadav,1955-06-15,8149868041,M,66236990098972,"House No 441, Street 17",Bihar
97,HE017,hospital_e,Mahesh Gupta,2023-06-06,637200209,F,11959845329761,"House No 293, Street 20",Delhi
98,HE018,hospital_e,Gita Malhotra,1968-12-21,7118640691,F,39229682562423,"House No 238, Street 18",Tamil Nadu
99,HE019,hospital_e,Riya Malhotra,2026-12-12,7985681847,F,47984156489087,"House No 154, Street 3",Tamil Nadu
100,HE020,hospital_e,mAit Shah,1888-04-23,9611682673,F,74789688031772,"House No 445, Street 18",Uttar Pradesh
